D,gap,s,spy,us_sessions
2025-03-10,-0.0031519957973389,0.0069884871621803,0.005604862520902865,1.0
2025-03-11,-0.0208917531643472,-0.0145790254715969,-0.02663558528182819,1.0
2025-03-12,0.0059110968721407,-0.0040285908057682,-0.008312879584754462,1.0
2025-03-13,0.0090258696209335,0.0051837387883322,0.005306541044969082,1.0
2025-03-14,-0.0032871579904775,-0.0036656861105193,-0.01333049237232553,1.0
2025-03-17,0.0085568509555584,0.0103023405427674,0.020655788693630495,1.0
2025-03-18,0.0063508415388726,0.0048437896028827,0.007711353519474162,1.0
2025-03-19,0.0004363492270431,-0.0050671863550131,-0.010808436249554187,1.0
2025-03-20,0.0074334799441395,0.0038062035029133,0.010890850841058342,1.0
2025-03-21,-0.0012135281915708,-0.0021735457127741,-0.0028917790177164227,1.0
2025-03-24,-0.0025348550653688,-0.0026284508719089,-0.0026702678945725866,1.0
2025-03-25,0.0079671019989966,0.0095201074905089,0.017908502022889516,1.0
2025-03-26,0.0046945416608255,-0.000600574035059,0.0024038545877420603,1.0
2025-03-27,-0.0089487328130422,-0.0079902794399253,-0.011938266525687413,1.0
2025-03-28,-0.0055693075101653,-0.0044712875931689,-0.0026557092004866334,1.0
2025-03-31,-0.017412192199541,-0.0100720787870418,-0.020138328985595644,1.0
2025-04-01,0.0121396271136673,0.0008019705686729,0.0067128130226792315,1.0
2025-04-02,0.0016777352133547,0.0006711786827985,0.0028244266313557365,1.0
2025-04-03,-0.0273080590486967,0.0025510612052351,0.006328411525621025,1.0
2025-04-04,-0.0145614515818186,-0.0300377080452274,-0.04928081620084812,1.0
2025-04-07,-0.0430636261729627,-0.0266534119251011,-0.058542971330535654,1.0
2025-04-08,0.0227643677998201,0.0042621735732696,-0.0017811785518102585,1.0
2025-04-09,-0.001816440654885,-0.0110819622901042,-0.0156627816725603,1.0
2025-04-10,0.0442210985742941,0.0581470792668072,0.10501930183911301,1.0
2025-04-11,-0.0181263720715577,-0.0251127754830497,-0.04381899719533322,1.0
2025-04-14,0.0088625320026121,0.0078980740066631,0.017842817199724692,1.0
2025-04-15,0.0035099770610851,0.0032638701319668,0.009701450822369617,1.0
2025-04-16,-0.0018688400292052,0.0002587478139922,-0.0028008788011967267,1.0
2025-04-17,0.0017446953132536,-0.0121648658082186,-0.02222803246337901,1.0
2025-04-18,0.0011699016849726,-0.0007182842447609,0.001426777837987947,1.0
2025-04-22,-0.0029094728629722,-0.008254986492267,-0.023802680232045126,1.0
2025-04-23,0.0136409643056345,0.0090901375272921,0.02601773758493775,1.0
2025-04-24,-8.709779138948992e-05,0.0105921986296461,0.015495463082325855,1.0
2025-04-25,0.0088251771481757,0.0157195700322415,0.02104893334386637,1.0
2025-04-28,0.0019361157546589,0.0033900997430914,0.00722532365580375,1.0
2025-04-29,0.0005452996710482,-0.0002808648284728,0.00038130345037501456,1.0
2025-04-30,-0.0017072771498939,-0.0008758515561228,0.006299413437552026,1.0
2025-05-02,-3.523724261411676e-05,0.0026808156661368,0.007486584146472852,2.0
2025-05-07,0.0067388339421454,0.0035824358386384,0.0005909307700613375,3.0
2025-05-08,0.0029023119750604,0.0043427223511558,0.0042055058561747405,1.0
2025-05-09,0.0032758351434616,0.0031826670925002,0.0069677857514378605,1.0
2025-05-12,0.0064680540838448,0.0020399410988031,-0.0012741491279434358,1.0
2025-05-13,-0.002136311166011,0.0209747373142549,0.03304738719814848,1.0
